nps_id,customer_id,score,comment
13000000351,559,9,Tardó un poco más de lo esperado
13000000352,1187,9,Muy conforme con la calidad
13000000353,786,6,Todo perfecto
13000000354,1104,6,Todo perfecto
13000000355,505,4,Volvería a comprar
13000000356,436,0,Atención muy buena
13000000357,366,5,Atención muy buena
13000000358,829,8,Tardó un poco más de lo esperado
13000000359,570,5,Atención muy buena
13000000360,573,10,Entrega rápida y producto excelente
13000000361,63,8,Todo perfecto
13000000362,140,10,Muy conforme con la calidad
13000000363,650,9,Volvería a comprar
13000000364,558,7,Volvería a comprar
13000000365,498,9,
13000000366,1337,10,Podría mejorar el empaque
13000000367,192,9,Volvería a comprar
13000000368,523,1,Tardó un poco más de lo esperado
13000000369,1009,5,Entrega rápida y producto excelente
13000000370,1079,8,Atención muy buena
13000000371,809,9,Podría mejorar el empaque
13000000372,332,8,Atención muy buena
13000000373,397,8,Tardó un poco más de lo esperado
13000000374,950,8,Tardó un poco más de lo esperado
13000000375,950,10,Todo perfecto
13000000376,1071,7,Tardó un poco más de lo esperado
13000000377,27,5,Atención muy buena
13000000378,1063,5,Muy conforme con la calidad
13000000379,930,10,Atención muy buena
13000000380,1435,1,Podría mejorar el empaque
13000000381,258,10,Atención muy buena
13000000382,847,4,Volvería a comprar
13000000383,921,10,Muy conforme con la calidad
13000000384,1231,7,Tardó un poco más de lo esperado
13000000385,292,10,Podría mejorar el empaque
13000000386,325,3,Volvería a comprar
13000000387,921,3,Atención muy buena
13000000388,248,2,
13000000389,754,8,
13000000390,708,9,
13000000391,48,6,Podría mejorar el empaque
13000000392,786,5,Atención muy buena
13000000393,382,4,
13000000394,895,6,Tardó un poco más de lo esperado
13000000395,821,7,Entrega rápida y producto excelente
13000000396,1032,9,Todo perfecto
13000000397,1262,1,Todo perfecto
13000000398,153,9,Muy conforme con la calidad
13000000399,816,1,Todo perfecto
13000000400,237,7,Todo perfecto
13000000401,589,10,Podría mejorar el empaque
13000000402,249,6,Atención muy buena
13000000403,1130,2,Volvería a comprar
13000000404,455,3,Volvería a comprar
13000000405,1306,0,Podría mejorar el empaque
13000000406,1359,9,Atención muy buena
13000000407,696,7,Volvería a comprar
13000000408,867,7,Todo perfecto
13000000409,690,10,Podría mejorar el empaque
13000000410,14,7,Volvería a comprar
13000000411,259,2,
13000000412,334,3,Todo perfecto
13000000413,574,9,Todo perfecto
13000000414,716,10,Volvería a comprar
13000000415,204,8,Todo perfecto
13000000416,624,10,Volvería a comprar
13000000417,535,9,Volvería a comprar
13000000418,522,7,Entrega rápida y producto excelente
13000000419,589,9,Tardó un poco más de lo esperado
13000000420,1485,9,Muy conforme con la calidad
13000000421,544,9,Volvería a comprar
13000000422,253,9,Atención muy buena
13000000423,520,8,Podría mejorar el empaque
13000000424,1339,8,Volvería a comprar
13000000425,800,10,Tardó un poco más de lo esperado
13000000426,782,9,Entrega rápida y producto excelente
13000000427,488,3,Tardó un poco más de lo esperado
13000000428,1074,6,Todo perfecto
13000000429,789,9,Muy conforme con la calidad
13000000430,951,3,Tardó un poco más de lo esperado
13000000431,1210,8,
13000000432,977,3,Volvería a comprar
13000000433,489,8,Tardó un poco más de lo esperado
13000000434,1192,9,Entrega rápida y producto excelente
13000000435,1461,5,Volvería a comprar
13000000436,28,6,Volvería a comprar
13000000437,459,9,
13000000438,756,2,Entrega rápida y producto excelente
13000000439,1495,8,Podría mejorar el empaque
13000000440,584,7,Todo perfecto
13000000441,703,2,Atención muy buena
13000000442,1309,7,Atención muy buena
13000000443,323,7,Muy conforme con la calidad
13000000444,90,8,Muy conforme con la calidad
13000000445,761,5,Tardó un poco más de lo esperado
13000000446,999,9,
13000000447,85,9,Entrega rápida y producto excelente
13000000448,405,8,Podría mejorar el empaque
13000000449,336,2,Muy conforme con la calidad
13000000450,179,9,Entrega rápida y producto excelente
13000000451,682,8,Entrega rápida y producto excelente
13000000452,862,8,Tardó un poco más de lo esperado
13000000453,1218,5,Todo perfecto
13000000454,31,7,Todo perfecto
13000000455,154,10,
13000000456,1049,10,Podría mejorar el empaque
13000000457,586,10,Atención muy buena
13000000458,425,10,Volvería a comprar
13000000459,1235,8,Podría mejorar el empaque
13000000460,52,10,Tardó un poco más de lo esperado
13000000461,78,3,Entrega rápida y producto excelente
13000000462,405,7,Entrega rápida y producto excelente
13000000463,381,7,Podría mejorar el empaque
13000000464,284,10,Podría mejorar el empaque
13000000465,867,0,Tardó un poco más de lo esperado
13000000466,626,8,
13000000467,195,9,Entrega rápida y producto excelente
13000000468,467,7,Tardó un poco más de lo esperado
13000000469,1107,7,Tardó un poco más de lo esperado
13000000470,580,8,Muy conforme con la calidad
13000000471,942,7,Todo perfecto
13000000472,1354,10,Podría mejorar el empaque
13000000473,540,4,Muy conforme con la calidad
13000000474,1161,6,Entrega rápida y producto excelente
13000000475,895,8,Todo perfecto
13000000476,399,6,
13000000477,77,10,Tardó un poco más de lo esperado
13000000478,754,0,
13000000479,1253,7,Podría mejorar el empaque
13000000480,1117,6,Muy conforme con la calidad
13000000481,413,6,Volvería a comprar
13000000482,40,8,Atención muy buena
13000000483,403,1,Entrega rápida y producto excelente
13000000484,1482,6,Todo perfecto
13000000485,790,9,Podría mejorar el empaque
13000000486,891,0,Entrega rápida y producto excelente
13000000487,819,7,Muy conforme con la calidad
13000000488,474,9,
13000000489,1332,8,Entrega rápida y producto excelente
13000000490,305,4,Todo perfecto
13000000491,400,7,Atención muy buena
13000000492,415,9,Todo perfecto
13000000493,739,9,Tardó un poco más de lo esperado
13000000494,45,4,Muy conforme con la calidad
13000000495,584,8,Todo perfecto
13000000496,305,9,Entrega rápida y producto excelente
13000000497,1061,4,Volvería a comprar
13000000498,1051,9,Todo perfecto
13000000499,981,8,Podría mejorar el empaque
13000000500,381,7,Entrega rápida y producto excelente
13000000501,866,2,Tardó un poco más de lo esperado
13000000502,323,9,Podría mejorar el empaque
13000000503,1223,8,Muy conforme con la calidad
13000000504,728,3,Podría mejorar el empaque
13000000505,176,8,Muy conforme con la calidad
13000000506,620,3,Atención muy buena
13000000507,11,8,Atención muy buena
13000000508,866,5,Podría mejorar el empaque
13000000509,609,9,Volvería a comprar
13000000510,662,6,Entrega rápida y producto excelente
13000000511,1304,3,Podría mejorar el empaque
13000000512,1358,5,Entrega rápida y producto excelente
13000000513,1396,8,Tardó un poco más de lo esperado
13000000514,921,7,Todo perfecto
13000000515,193,9,Todo perfecto
13000000516,1366,7,Podría mejorar el empaque
13000000517,4,8,
13000000518,373,4,Entrega rápida y producto excelente
13000000519,3,10,Todo perfecto
13000000520,156,2,Muy conforme con la calidad
13000000521,1274,6,Muy conforme con la calidad
13000000522,1200,9,Volvería a comprar
13000000523,1271,9,Podría mejorar el empaque
13000000524,1089,10,Todo perfecto
13000000525,1399,9,Entrega rápida y producto excelente
13000000526,20,8,Volvería a comprar
13000000527,874,9,Atención muy buena
13000000528,919,7,Tardó un poco más de lo esperado
13000000529,885,9,Podría mejorar el empaque
13000000530,123,2,Muy conforme con la calidad
13000000531,301,10,Todo perfecto
13000000532,1172,5,Todo perfecto
13000000533,1334,7,Todo perfecto
13000000534,1462,3,Volvería a comprar
13000000535,1393,8,Atención muy buena
13000000536,1220,10,Todo perfecto
13000000537,1355,0,Podría mejorar el empaque
13000000538,27,8,Tardó un poco más de lo esperado
13000000539,921,3,Volvería a comprar
13000000540,1469,9,Volvería a comprar
13000000541,1228,9,Muy conforme con la calidad
13000000542,1123,7,Tardó un poco más de lo esperado
13000000543,125,8,Entrega rápida y producto excelente
13000000544,476,9,
13000000545,833,5,Volvería a comprar
13000000546,253,10,Muy conforme con la calidad
13000000547,398,9,Podría mejorar el empaque
13000000548,253,9,Todo perfecto
13000000549,206,9,Atención muy buena
13000000550,899,8,Muy conforme con la calidad
13000000551,1254,3,Tardó un poco más de lo esperado
13000000552,1317,10,Podría mejorar el empaque
13000000553,466,8,
13000000554,191,9,Atención muy buena
13000000555,362,10,Muy conforme con la calidad
13000000556,263,7,
13000000557,1473,10,Entrega rápida y producto excelente
13000000558,1494,10,Muy conforme con la calidad
13000000559,359,3,Muy conforme con la calidad
13000000560,181,10,Todo perfecto
13000000561,682,10,Volvería a comprar
13000000562,1142,9,Entrega rápida y producto excelente
13000000563,475,8,Entrega rápida y producto excelente
13000000564,541,10,Atención muy buena
13000000565,1344,10,Todo perfecto
13000000566,561,10,Muy conforme con la calidad
13000000567,981,8,Podría mejorar el empaque
13000000568,311,7,Muy conforme con la calidad
13000000569,1007,7,Atención muy buena
13000000570,952,6,
13000000571,1464,8,Atención muy buena
13000000572,863,9,Todo perfecto
13000000573,724,6,Todo perfecto
13000000574,612,7,Atención muy buena
13000000575,382,5,Entrega rápida y producto excelente
13000000576,311,8,Todo perfecto
13000000577,1041,9,Podría mejorar el empaque
13000000578,816,7,Atención muy buena
13000000579,189,6,Volvería a comprar
13000000580,1133,0,Todo perfecto
13000000581,1095,7,Volvería a comprar
13000000582,468,1,Todo perfecto
13000000583,416,1,Muy conforme con la calidad
13000000584,707,10,Volvería a comprar
13000000585,1375,7,Atención muy buena
13000000586,689,7,Atención muy buena
13000000587,759,7,Atención muy buena
13000000588,152,7,Atención muy buena
13000000589,724,5,Tardó un poco más de lo esperado
13000000590,495,6,Muy conforme con la calidad
13000000591,1104,4,
13000000592,1158,0,
13000000593,932,9,Todo perfecto
13000000594,150,2,Volvería a comprar
13000000595,323,2,Podría mejorar el empaque
13000000596,536,5,Atención muy buena
13000000597,1245,10,Todo perfecto
13000000598,1284,6,Podría mejorar el empaque
13000000599,1168,3,Muy conforme con la calidad
13000000600,1346,10,Podría mejorar el empaque
13000000601,213,7,Muy conforme con la calidad
13000000602,311,7,Atención muy buena
13000000603,32,9,Entrega rápida y producto excelente
13000000604,606,7,Atención muy buena
13000000605,1309,9,Volvería a comprar
13000000606,833,7,Volvería a comprar
13000000607,1123,9,Entrega rápida y producto excelente
13000000608,878,8,Tardó un poco más de lo esperado
13000000609,1317,8,
13000000610,218,9,Entrega rápida y producto excelente
13000000611,1456,8,Volvería a comprar
13000000612,987,9,Muy conforme con la calidad
13000000613,75,10,Volvería a comprar
13000000614,649,1,Volvería a comprar
13000000615,1095,6,Atención muy buena
13000000616,1136,9,Tardó un poco más de lo esperado
13000000617,1046,7,Atención muy buena
13000000618,1339,8,Todo perfecto
13000000619,724,3,Volvería a comprar
13000000620,32,0,Muy conforme con la calidad
13000000621,728,8,Atención muy buena
13000000622,299,7,Atención muy buena
13000000623,299,5,Muy conforme con la calidad
13000000624,404,7,Podría mejorar el empaque
13000000625,138,10,Muy conforme con la calidad
13000000626,1270,9,Entrega rápida y producto excelente
13000000627,1116,7,Todo perfecto
13000000628,239,5,Entrega rápida y producto excelente
13000000629,849,10,Volvería a comprar
13000000630,1432,9,Volvería a comprar
13000000631,109,0,Entrega rápida y producto excelente
13000000632,117,9,Volvería a comprar
13000000633,1007,2,Podría mejorar el empaque
13000000634,473,9,Atención muy buena
13000000635,188,9,Todo perfecto
13000000636,960,9,Podría mejorar el empaque
13000000637,298,9,Todo perfecto
13000000638,1146,10,Tardó un poco más de lo esperado
13000000639,790,10,Muy conforme con la calidad
13000000640,114,10,Atención muy buena
13000000641,778,8,Muy conforme con la calidad
13000000642,1380,2,
13000000643,1265,8,
13000000644,171,7,Muy conforme con la calidad
13000000645,384,6,Podría mejorar el empaque
13000000646,917,9,Tardó un poco más de lo esperado
13000000647,1262,0,Tardó un poco más de lo esperado
13000000648,1174,6,Atención muy buena
13000000649,312,10,Todo perfecto
13000000650,1107,6,Podría mejorar el empaque
13000000651,786,8,Entrega rápida y producto excelente
13000000652,956,6,Muy conforme con la calidad
13000000653,227,7,Muy conforme con la calidad
13000000654,1339,9,Entrega rápida y producto excelente
13000000655,79,6,
13000000656,515,9,Volvería a comprar
13000000657,1098,8,
13000000658,254,6,Todo perfecto
13000000659,1459,1,Todo perfecto
13000000660,688,8,Muy conforme con la calidad
13000000661,1356,7,Atención muy buena
13000000662,1409,1,Podría mejorar el empaque
13000000663,512,9,Tardó un poco más de lo esperado
13000000664,284,7,Todo perfecto
13000000665,79,2,Muy conforme con la calidad
13000000666,1246,7,Volvería a comprar
13000000667,343,7,Entrega rápida y producto excelente
13000000668,387,7,
13000000669,682,8,Entrega rápida y producto excelente
13000000670,778,7,Tardó un poco más de lo esperado
13000000671,507,6,
13000000672,640,10,Volvería a comprar
13000000673,1249,7,Todo perfecto
13000000674,958,8,Volvería a comprar
13000000675,1259,7,Podría mejorar el empaque
13000000676,1441,10,Volvería a comprar
13000000677,379,9,Podría mejorar el empaque
13000000678,115,7,Atención muy buena
13000000679,1496,8,
13000000680,1435,7,Muy conforme con la calidad
13000000681,1271,3,Podría mejorar el empaque
13000000682,643,9,Volvería a comprar
13000000683,1006,6,Volvería a comprar
13000000684,672,10,Entrega rápida y producto excelente
13000000685,439,0,Todo perfecto
13000000686,928,1,Tardó un poco más de lo esperado
13000000687,705,6,Todo perfecto
13000000688,717,8,Podría mejorar el empaque
13000000689,622,7,Podría mejorar el empaque
13000000690,90,7,Tardó un poco más de lo esperado
13000000691,1101,10,
13000000692,1362,9,Tardó un poco más de lo esperado
13000000693,644,9,Volvería a comprar
13000000694,265,9,Muy conforme con la calidad
13000000695,506,8,
13000000696,737,0,
13000000697,1294,10,Podría mejorar el empaque
13000000698,204,8,Entrega rápida y producto excelente
13000000699,1246,10,Volvería a comprar
13000000700,314,1,Tardó un poco más de lo esperado
13000000701,614,10,Muy conforme con la calidad
13000000702,497,8,Volvería a comprar
13000000703,1267,8,Volvería a comprar
13000000704,768,8,Atención muy buena
13000000705,886,3,Muy conforme con la calidad
13000000706,1173,1,
13000000707,561,10,Volvería a comprar
13000000708,59,10,Todo perfecto
13000000709,951,6,Podría mejorar el empaque
13000000710,790,9,
13000000711,412,6,Atención muy buena
13000000712,1250,3,Tardó un poco más de lo esperado
13000000713,146,9,Tardó un poco más de lo esperado
13000000714,670,9,Todo perfecto
13000000715,595,9,Todo perfecto
13000000716,1027,9,Volvería a comprar
13000000717,1183,9,Tardó un poco más de lo esperado
13000000718,655,9,Todo perfecto
13000000719,287,9,Volvería a comprar
13000000720,489,10,Todo perfecto
13000000721,897,9,Entrega rápida y producto excelente
